,round_epochs,val_loss,val_acc,val_custom_iou,loss,acc,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,optimizer,shapes
103,45,0.004407732998587045,0.9989630428015017,0.9838666576965183,0.010763276879693948,0.9963470825961992,0.9606774648030599,<function tanh at 0x00000195285297B8>,32,0.1,50,512,8,rmsprop,triangle
104,30,0.00918062316144214,0.9978318155980578,0.9598878610367868,0.02013769986874917,0.993330483343087,0.9189142070564569,<function tanh at 0x00000195285297B8>,32,0.1,100,1024,6,adam,triangle
105,100,0.009586672545136773,0.9974547449280234,0.9658155394535438,0.013803761260693563,0.9954515298207601,0.9498624567892037,<function tanh at 0x00000195285297B8>,32,0.1,100,1024,6,rmsprop,triangle
106,14,0.27032381179285986,0.9139328610663321,0.27095552343948215,0.277210825214199,0.9152526317858228,0.26514671918223887,<function tanh at 0x00000195285297B8>,32,0.1,100,1024,8,adam,triangle
107,11,0.29794248821688635,0.907899678922167,0.2807020317105686,0.2880782674925,0.9111283865629458,0.2628907385994406,<function tanh at 0x00000195285297B8>,32,0.1,100,1024,8,rmsprop,triangle
108,76,0.0022255760553639894,0.9998114623275458,0.9886786435164657,0.008554864859701517,0.9973604725856408,0.9676177653611875,<function tanh at 0x00000195285297B8>,32,0.1,100,512,6,adam,triangle
109,70,0.00036052351774118257,0.9999057311637729,0.9989472791260364,0.002232009845280189,0.999245849310183,0.9918940464655558,<function tanh at 0x00000195285297B8>,32,0.1,100,512,6,rmsprop,triangle
110,100,0.0999507395660176,0.9630467576139113,0.6815829265351389,0.11215906984665815,0.9606900285272038,0.6757229835379357,<function tanh at 0x00000195285297B8>,32,0.1,100,512,8,adam,triangle
111,77,0.0010135000675469271,0.9996229246550915,0.9961522946170732,0.006049149378668517,0.9980910560664009,0.9795194314975365,<function tanh at 0x00000195285297B8>,32,0.1,100,512,8,rmsprop,triangle
112,50,0.011198370653551584,0.9965120518908781,0.9602193329848495,0.03082750677405035,0.9888527311530768,0.9078185593380648,<function tanh at 0x00000195285297B8>,32,0.3,50,1024,6,adam,triangle
113,45,0.002173080202648599,0.9996229246550915,0.9900960688497505,0.01350201713834323,0.9955693658660439,0.9579161604245504,<function tanh at 0x00000195285297B8>,32,0.3,50,1024,6,rmsprop,triangle
114,15,0.27095038867464255,0.9139328610663321,0.2737366761647019,0.2843426685122883,0.9128959108801449,0.26582997160799365,<function tanh at 0x00000195285297B8>,32,0.3,50,1024,8,adam,triangle
115,39,0.15344547027466343,0.947586717558842,0.5675293803215027,0.16673455212046118,0.94325036277958,0.520249498241088,<function tanh at 0x00000195285297B8>,32,0.3,50,1024,8,rmsprop,triangle
116,50,0.022690497302249365,0.9934954491316104,0.9164515710344502,0.05613956856084805,0.9782711033727608,0.831406900695726,<function tanh at 0x00000195285297B8>,32,0.3,50,512,6,adam,triangle
117,49,0.011617920306675574,0.9961349788834067,0.9581962858929354,0.03942403542425703,0.9856711661114412,0.8799343471433602,<function tanh at 0x00000195285297B8>,32,0.3,50,512,6,rmsprop,triangle
118,7,0.27155303312282936,0.9139328610663321,0.292638619740804,0.2808989756831936,0.913532227862115,0.26670245767808426,<function tanh at 0x00000195285297B8>,32,0.3,50,512,8,adam,triangle
119,50,0.0416425984425872,0.9850112819204143,0.8602462936850155,0.07904950193330354,0.9693391638643601,0.7640078640451619,<function tanh at 0x00000195285297B8>,32,0.3,50,512,8,rmsprop,triangle
120,100,0.00227121271275203,0.9994343869826373,0.98894055333792,0.018209661740590546,0.9936604231011634,0.9452033896072238,<function tanh at 0x00000195285297B8>,32,0.3,100,1024,6,adam,triangle
121,100,8.45274186633783e-05,1.0,0.999562188690784,0.006040350670981056,0.9980674888573441,0.9816822993989084,<function tanh at 0x00000195285297B8>,32,0.3,100,1024,6,rmsprop,triangle
122,79,0.19928593378441006,0.9275075372527627,0.3987797901910894,0.20836715108039333,0.9296285732119691,0.4047950751641217,<function tanh at 0x00000195285297B8>,32,0.3,100,1024,8,adam,triangle
123,100,0.14197284304628185,0.9507918322787565,0.5899618805623522,0.15533355039124394,0.9467382992015165,0.5540139797855826,<function tanh at 0x00000195285297B8>,32,0.3,100,1024,8,rmsprop,triangle
124,100,0.00920390332227244,0.9982088909429663,0.9635111116895488,0.036160825368236095,0.9862603440004236,0.8908140717768201,<function tanh at 0x00000195285297B8>,32,0.3,100,512,6,adam,triangle
125,100,0.003298504520025031,0.999245849310183,0.9872478795986549,0.025562198029137125,0.9913744096662483,0.9303100880454568,<function tanh at 0x00000195285297B8>,32,0.3,100,512,6,rmsprop,triangle
126,100,0.1296407108505567,0.9538084198446835,0.6000997096884484,0.14084052177620868,0.9495663455888337,0.5683450254739499,<function tanh at 0x00000195285297B8>,32,0.3,100,512,8,adam,triangle
127,100,0.022755398250678006,0.9926470354491589,0.921081565174402,0.056338593655941537,0.9794258907729504,0.8357492463261473,<function tanh at 0x00000195285297B8>,32,0.3,100,512,8,rmsprop,triangle
